borrower_id,loan_id,branch_id,district,obs_date,obs_period,rating,loan_amount,default_flag,gamma
MF00001,MF00001_L001,BR001,Mashonaland Central,31-03-01,2001Q1,4,1250.5,0,0.43
MF00001,MF00001_L001,BR001,Mashonaland Central,30-06-01,2001Q2,4,1220.25,0,0.21
MF00001,MF00001_L001,BR001,Mashonaland Central,30-09-01,2001Q3,4,1190.1,0,-0.08
MF00001,MF00001_L001,BR001,Mashonaland Central,31-12-01,2001Q4,3,1155.35,0,-0.34
MF00001,MF00001_L001,BR001,Mashonaland Central,31-03-02,2002Q1,3,1120.8,0,-1.45
MF00001,MF00001_L001,BR001,Mashonaland Central,30-06-02,2002Q2,2,985.6,0,-1.82
MF00001,MF00001_L001,BR001,Mashonaland Central,30-09-02,2002Q3,2,850,0,-1.67
MF00001,MF00001_L001,BR001,Mashonaland Central,31-12-02,2002Q4,2,800,0,-0.95
MF00001,MF00001_L001,BR001,Mashonaland Central,31-03-03,2003Q1,2,780.5,0,0.12
MF00001,MF00001_L001,BR001,Mashonaland Central,30-06-03,2003Q2,2,760.25,0,0.56
MF00001,MF00001_L001,BR001,Mashonaland Central,30-09-03,2003Q3,3,780,0,0.89
MF00001,MF00001_L001,BR001,Mashonaland Central,31-12-03,2003Q4,3,810.75,0,0.62
MF00002,MF00002_L001,BR005,Masvingo,30-06-01,2001Q2,3,850,0,0.05
MF00002,MF00002_L001,BR005,Masvingo,30-09-01,2001Q3,3,830.5,0,-0.21
MF00002,MF00002_L001,BR005,Masvingo,31-12-01,2001Q4,3,805.25,0,-0.45
MF00002,MF00002_L001,BR005,Masvingo,31-03-02,2002Q1,2,750,0,-1.89
MF00002,MF00002_L001,BR005,Masvingo,30-06-02,2002Q2,1,600,0,-2.1
MF00002,MF00002_L001,BR005,Masvingo,30-09-02,2002Q3,1,0,1,-1.95
MF00003,MF00003_L001,BR002,Mashonaland East,30-09-01,2001Q3,5,1500,0,-0.12
MF00003,MF00003_L001,BR002,Mashonaland East,31-12-01,2001Q4,5,1490,0,-0.38
MF00003,MF00003_L001,BR002,Mashonaland East,31-03-02,2002Q1,4,1450,0,-1.32
MF00003,MF00003_L001,BR002,Mashonaland East,30-06-02,2002Q2,4,1420,0,-1.56
MF00003,MF00003_L001,BR002,Mashonaland East,30-09-02,2002Q3,3,1380,0,-1.44
MF00003,MF00003_L001,BR002,Mashonaland East,31-12-02,2002Q4,3,1350,0,-0.88
MF00003,MF00003_L001,BR002,Mashonaland East,31-03-03,2003Q1,3,1330,0,0.05
MF00003,MF00003_L001,BR002,Mashonaland East,30-06-03,2003Q2,4,1360,0,0.71
MF00004,MF00004_L001,BR008,Midlands,31-03-02,2002Q1,3,1100,0,-1.67
MF00004,MF00004_L001,BR008,Midlands,30-06-02,2002Q2,2,950,0,-2.01
MF00004,MF00004_L001,BR008,Midlands,30-09-02,2002Q3,2,850,0,-1.92
MF00004,MF00004_L001,BR008,Midlands,31-12-02,2002Q4,2,800,0,-1.05
MF00004,MF00004_L001,BR008,Midlands,31-03-03,2003Q1,2,790,0,0.15
MF00004,MF00004_L001,BR008,Midlands,30-06-03,2003Q2,3,820,0,0.82
MF00005,MF00005_L001,BR003,Manicaland,31-12-01,2001Q4,4,1350,0,-0.41
MF00005,MF00005_L001,BR003,Manicaland,31-03-02,2002Q1,3,1250,0,-1.28
